ahn	gen	id	mh	name	sex	born	born_place	died	died_place	cause	burial	occupation	spouses	living	n_notes	sources
		@I503344@	MH:I503344	Sophia Maria Louisa D'Arcy	F	1 JUN 1842	New South Wales, Australia	31 JAN 1927	Parramatta, New South Wales, Australia						0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-17004571_OYYV7BO3D3TL7Z2SE5JKKPXLNNLBVRY_OYYV7BO3D3TL7Z2SE5JKKPXLNNLBVRY/sophia-maria-louisa-macqueen-born-darcy
		@I503500@	MH:I503500	William David d'Arcy	M	1842									0	Archibald-Carter — William David d'Arcy
		@I3468@	MH:I3468	G Norman D'Arcy	M	1849	Mumbai, Maharashtra, India	1870	Brisbane, Queensland, Australia				Deborah Fitzgerald (m. 1871)		0	Barnett Web Site — George Norman Joseph D'Arcy | McDougall Web Site — George Norman Joseph D'Arcy
		@I3469@	MH:I3469	Mary Catherine Georgina D'Arcy	F	28 MAR 1850	Lymington, Hampshire, England	15 JUL 1927	West Ham, UK				JOHN DARCY		1	McDougall Web Site — Mary Catherine Georgina D'Arcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1502501_OYYV64Y2BUSCRD27QROJ6FGVLCO73UI_OYYV64Y2BUSCRD27QROJ6FGVLCO73UI/mary-catherine-georgina-darcy | WILLIS Web Site — Mary Catherine Georgina DARCY (born Sullivan)
		@I3467@	MH:I3467	Elizabeth Eleanor D'Arcy	F	1852	Lymington, UK	1928					Arthur Ashley Ruck (m. 23 AUG 1877)		0	
		@I504681@	MH:I504681	Mary Elvina Annie D'Arcy	F	26 APR 1862	Brisbane, Queensland, Australia	9 JUL 1949	Queensland, Australia						0	Macleod Web Site — Mary Elvina Annie D'Arcy
		@I208@	MH:I208	George Pitt D'Arcy	M	5 MAY 1864	Brisbane, Brisbane, Queensland, Australia	21 MAR 1931	Brisbane, Brisbane, Queensland, Australia		Dutton Park, Queensland, Australia	Chief Clerk Railway Department	Ida Kathleen Atkinson (m. 10 OCT 1888)		0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-5500657_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ/george-pitt-darcy | Defranceski Family Site (23andMe) — https://www.myheritage.com/person-1024065_OYYV6TYGNMKFCUZG5GBBUGZIW24Q4BA_OYYV6TYGNMKFCUZG5GBBUGZIW24Q4BA/george-pitt-darcy | FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-103564137/george-pitt-darcy-in-familysearch-family-tree | Australian Newspapers — https://www.myheritage.com/research/record-10450-29280071/brisbane-courier-qld
		@I504682@	MH:I504682	Robert Joseph D'Arcy	M	31 JAN 1864	Brisbane, Queensland, Australia	7 JUL 1910	Brisbane, Queensland, Australia						0	Macleod Web Site — Robert Joseph D'Arcy
		@I500393@	MH:I500393	Robert Lindesay D'Arcy	M	20 JUL 1865	Brisbane, Queensland, Australia	20 MAR 1868	Queensland, Australia		Toowong Cemetery, Brisbane Queensland, Australia				1	Donna Spencer Web Site — Robert Lindesay D'Arcy | South Brisbane Cemetery Monumental Inscriptions — https://www.myheritage.com/research/record-10137-7963/robert-lindesay-darcy-in-south-brisbane-cemetery-monumental-inscriptions | FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-913806340/robert-lindsay-darcy-in-familysearch-family-tree
		@I504683@	MH:I504683	Louisa Margaret D'Arcy	F	8 JUL 1866	Brisbane, Queensland, Australia	10 NOV 1940	Queensland, Australia						0	Macleod Web Site — Louisa Margaret D'Arcy
		@I500051@	MH:I500051	Catherine D'Arcy	F	30 JAN 1867	Brisbane, Queensland, Australia	24 SEP 1939	Brisbane		Dutton Park / South Brisbane Cemetery, 8B-332				0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-5500659_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ/catherine-darcy
		@I500052@	MH:I500052	William Arthur D'Arcy	M	4 JUL 1868	Brisbane, Queensland, Australia	29 MAR 1870	Brisbane, Queensland, Australia		Eddington Cemetery, Victoria, Australia				0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-5500660_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ/william-arthur-darcy | FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-926985086/william-arthur-darcy-in-familysearch-family-tree
		@I500053@	MH:I500053	Charlotte Maria D'Arcy	F	22 NOV 1869	Brisbane, Queensland, Australia	31 MAY 1939	Queensland Australia				Thomas Edward Jones (m. 14 JAN 1888)		1	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-5500661_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ/charlotte-maria-darcy
		@I500054@	MH:I500054	Ida Grace D'Arcy	F	1 APR 1872	Brisbane, Queensland, Australia	12 JUN 1941	Queensland, Australia		Dutton Park / South Brisbane Cemetery, 8B-333				0	Defranceski Family Site (23andMe) — https://www.myheritage.com/person-5500662_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ_OYYV74B6SJLM7Q6KXMGJKGEDWQRV3CQ/ida-grace-darcy
		@I500384@	MH:I500384	Geraldine D'Arcy	F	29 DEC 1872	Brisbane, Australia	27 OCT 1937	Epsom, Surrey, England				Charles Ashkenazie Hunter (m. 17 JUN 1903)		0	Barnett Web Site — Geraldine D'Arcy | FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-706887404/geraldine-norman-hunter-born-darcy-in-familysearch-family-tree
		@I500398@	MH:I500398	Edwin Francis D'Arcy	M	30 AUG 1873	Brisbane, Queensland, Australia	18 APR 1949	Queensland, Australia		Holland Park West, Brisbane City, Queensland, Australia	Clerk, Qld Railway Department	Elizabeth Mary Harries (m. 26 APR 1894)		1	Donna Spencer Web Site — Edwin Francis D'Arcy
		@I210@	MH:I210	Hilda Georgina D'Arcy	F	3 OCT 1890	Brisbane, Brisbane, Queensland, Australia	19 FEB 1969	Brisbane, Queensland, Australia				Percy Norman Chambers (m. 20 FEB 1917)		1	FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-113987264/hilda-georgina-chambers-born-darcy-in-familysearch-family-tree | Geni World Family Tree — https://www.myheritage.com/research/record-40000-324082941/hilda-georgina-darcy-in-geni-world-family-tree
		@I76@	MH:I76	Lindesay Atkinson D'Arcy	M	15 JUL 1892	Brisbane, Brisbane, Queensland, Australia	10 NOV 1936	Brisbane, Brisbane, Queensland, Australia		Toowong Cemetery, Queensland, Australia	Clerk	Ivy Miriam Sneyd (m. 18 MAR 1916)		2	FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-762960182/lindesay-atkinson-darcy-in-familysearch-family-tree
		@I211@	MH:I211	Florence Isabel D'Arcy	F	19 MAR 1894	Brisbane, Brisbane, Queensland, Australia	22 AUG 1918	Brisbane, Brisbane, Queensland, Australia	Chlorosis; Valvular disease of the heart	Nundah Cemetery, Brisbane	'Assistant at house' (mentioned on death certificate)			2	FamilySearch Family Tree — https://www.myheritage.com/research/record-40001-95430424/florence-isabel-darcy-in-familysearch-family-tree
		@I212@	MH:I212	Ida Joyce D'Arcy	F	9 APR 1908	Brisbane, Brisbane, Queensland, Australia	20 AUG 1969	Queensland Australia				Cecil George Edgar (m. 26 APR 1930)		0	lloyd Web Site — Ida Joyce Edgar (born D'Arcy)
		@I505027@	MH:I505027	Vivian Lindsay D'Arcy	M	27 DEC 1916		15 MAR 2006	Brisbane, QLD, Australia		Mt Thompson Memorial Gardens, Holland Park, Brisbane City, Queensland, Australia		Hazel Isobel Keir (m. 15 JAN 1944)		0	
		@I402@	MH:I402	"Arthur Neville ""Bill"" D'Arcy"	M	17 MAY 1924	Brisbane, Queensland, Australia	19 JUL 1985	Nambour, Sunshine Coast Regional, Queensland, Australia		Mooloolah Cemetery, Glenview, Sunshine Coast Regional, Queensland, Australia		— living, withheld — | — living, withheld —		1	
		@I20@	MH:I20	Kenneth Lindsay D'Arcy	M	17 AUG 1927	Sandgate, Queensland, Australia	3 MAR 2010	Brisbane, Brisbane, Queensland, Australia	Cancer (secondary melanoma)	Centenary Memorial Gardens, Sumner	Insurance Manager	"Audrey ""Dell"" Murdoch (m. 5 APR 1952)"		1	
		@I505035@		— living, withheld —										yes		
		@I6@		— living, withheld —										yes		
		@I505036@		— living, withheld —										yes		
		@I23@		— living, withheld —										yes		
		@I22@		— living, withheld —										yes		
		@I505037@		— living, withheld —										yes		
		@I505081@		— living, withheld —										yes		
		@I2@		— living, withheld —										yes		
		@I8@		— living, withheld —										yes		
		@I505276@		— living, withheld —										yes		
		@I83@		— living, withheld —										yes		
		@I82@		— living, withheld —										yes		
		@I503111@	MH:I503111	Margaret? D'Arcy	F								Thomas (Francis) D'Arcy		0	Geni World Family Tree — https://www.myheritage.com/research/record-40000-127960491/nn-darcy-in-geni-world-family-tree
		@I505028@	MH:I505028	Valma D'Arcy	F			2010	Brisbane Q'ld Australia				— living, withheld —		0	
		@I505029@		— living, withheld —										yes		
		@I505054@		— living, withheld —										yes		
		@I505055@		— living, withheld —										yes		
		@I509341@		— living, withheld —										yes		
